country,year,flow,partner,hs2,value_usd
Fiji,2013,import,world,06,21213855.0
Fiji,2013,import,world,07,11781966.0
Fiji,2013,import,world,08,15666411.0
Fiji,2013,import,world,09,23200039.0
Fiji,2013,import,world,11,18317344.0
Fiji,2013,import,world,12,1264208.0
Fiji,2013,import,world,21,3812.0
Fiji,2013,import,world,22,295121.0
Fiji,2013,import,world,23,98975.0
Fiji,2013,import,world,24,4238727.0
Fiji,2013,import,world,25,52.0
Fiji,2013,import,world,26,3839303.0
Fiji,2013,import,world,27,13080823.0
Fiji,2013,import,world,28,70227.0
Fiji,2013,import,world,29,4943407.0
Fiji,2013,import,world,32,104741.0
Fiji,2013,import,world,33,634941104.0
Fiji,2013,import,world,34,25971838.0
Fiji,2013,import,world,41,520753.0
Fiji,2013,import,world,42,23228100.0
Fiji,2013,import,world,43,42862.0
Fiji,2013,import,world,51,5090580.0
Fiji,2013,import,world,52,8359904.0
Fiji,2013,import,world,53,11095812.0
Fiji,2013,import,world,54,27713585.0
Fiji,2013,import,world,55,35721503.0
Fiji,2013,import,world,56,9986886.0
Fiji,2013,import,world,57,32947829.0
Fiji,2013,import,world,58,20105416.0
Fiji,2013,import,world,59,28579110.0
Fiji,2013,import,world,61,1500674.0
Fiji,2013,import,world,62,26377746.0
Fiji,2013,import,world,63,6106422.0
Fiji,2013,import,world,64,46372243.0
Fiji,2013,import,world,65,81193567.0
Fiji,2013,import,world,66,31259118.0
Fiji,2013,import,world,67,42951533.0
Fiji,2013,import,world,68,14506465.0
Fiji,2013,import,world,69,56562142.0
Fiji,2013,import,world,71,52403045.0
Fiji,2013,import,world,72,61173587.0
Fiji,2013,import,world,73,2304848.0
Fiji,2013,import,world,74,66218779.0
Fiji,2013,import,world,75,44446036.0
Fiji,2013,import,world,76,67060682.0
Fiji,2013,import,world,77,62572348.0
Fiji,2013,import,world,78,138135502.0
Fiji,2013,import,world,79,495026478.0
Fiji,2013,import,world,81,11285490.0
Fiji,2013,import,world,82,11744867.0
Fiji,2013,import,world,83,4499648.0
Fiji,2013,import,world,84,29860720.0
Fiji,2013,import,world,85,10045554.0
Fiji,2013,import,world,87,27302548.0
Fiji,2013,import,world,88,9447138.0
Fiji,2013,import,world,89,90960229.0
Fiji,2013,import,world,93,17918929.0
Fiji,2013,import,world,96,285.0
Fiji,2014,export,aus,01,121475.0
Fiji,2014,export,aus,02,439519.0
Fiji,2014,export,aus,03,1119447.0
Fiji,2014,export,aus,04,10257625.0
Fiji,2014,export,aus,05,6616819.0
Fiji,2014,export,aus,06,309068.0
Fiji,2014,export,aus,07,1451352.0
Fiji,2014,export,aus,08,41825.0
Fiji,2014,export,aus,09,481610.0
Fiji,2014,export,aus,11,1096454.0
Fiji,2014,export,aus,12,484208.0
Fiji,2014,export,aus,21,36437.0
Fiji,2014,export,aus,22,635.0
Fiji,2014,export,aus,24,451619.0
Fiji,2014,export,aus,25,49378.0
Fiji,2014,export,aus,26,5985.0
Fiji,2014,export,aus,27,931.0
Fiji,2014,export,aus,28,450499.0
Fiji,2014,export,aus,29,42359.0
Fiji,2014,export,aus,33,340.0
Fiji,2014,export,aus,41,285446.0
Fiji,2014,export,aus,42,1054542.0
Fiji,2014,export,aus,51,4230.0
Fiji,2014,export,aus,52,1588.0
Fiji,2014,export,aus,53,25926.0
Fiji,2014,export,aus,54,1983857.0
Fiji,2014,export,aus,55,543731.0
Fiji,2014,export,aus,57,55575.0
Fiji,2014,export,aus,58,11128.0
Fiji,2014,export,aus,59,14951.0
Fiji,2014,export,aus,61,13017.0
Fiji,2014,export,aus,62,25892.0
Fiji,2014,export,aus,63,396057.0
Fiji,2014,export,aus,64,68984.0
Fiji,2014,export,aus,65,4093341.0
Fiji,2014,export,aus,66,33990.0
Fiji,2014,export,aus,67,74680.0
Fiji,2014,export,aus,68,248260.0
Fiji,2014,export,aus,69,17126300.0
Fiji,2014,export,aus,71,125437.0
Fiji,2014,export,aus,72,412962.0
Fiji,2014,export,aus,73,20532.0
Fiji,2014,export,aus,74,192725.0
Fiji,2014,export,aus,75,301718.0
Fiji,2014,export,aus,76,5360927.0
Fiji,2014,export,aus,77,2889949.0
Fiji,2014,export,aus,78,597768.0
Fiji,2014,export,aus,79,3481917.0
Fiji,2014,export,aus,81,127923.0
Fiji,2014,export,aus,82,191330.0
Fiji,2014,export,aus,83,260281.0
Fiji,2014,export,aus,84,45686656.0
Fiji,2014,export,aus,85,207494.0
Fiji,2014,export,aus,87,137839.0
Fiji,2014,export,aus,88,354320.0
Fiji,2014,export,aus,89,1875869.0
Fiji,2014,export,aus,93,1349538.0
Fiji,2014,export,aus,97,45546587.0
Fiji,2014,export,china,03,35261743.0
Fiji,2014,export,china,04,566.0
Fiji,2014,export,china,05,72571.0
Fiji,2014,export,china,07,1191.0
Fiji,2014,export,china,08,572.0
Fiji,2014,export,china,09,5297.0
Fiji,2014,export,china,11,900042.0
Fiji,2014,export,china,12,847.0
Fiji,2014,export,china,24,8528808.0
Fiji,2014,export,china,26,5.0
Fiji,2014,export,china,27,694.0
Fiji,2014,export,china,28,8560137.0
Fiji,2014,export,china,29,244454.0
Fiji,2014,export,china,33,25662.0
Fiji,2014,export,china,34,49514.0
Fiji,2014,export,china,51,5687.0
Fiji,2014,export,china,52,2582.0
Fiji,2014,export,china,54,7785.0
Fiji,2014,export,china,55,12695.0
Fiji,2014,export,china,57,136538.0
Fiji,2014,export,china,58,112.0
Fiji,2014,export,china,62,605.0
Fiji,2014,export,china,63,7955.0
Fiji,2014,export,china,64,15.0
Fiji,2014,export,china,65,25370.0
Fiji,2014,export,china,68,6902.0
Fiji,2014,export,china,69,40549.0
Fiji,2014,export,china,71,6727.0
Fiji,2014,export,china,72,3308.0
Fiji,2014,export,china,74,218366.0
Fiji,2014,export,china,75,2104.0
Fiji,2014,export,china,76,2799120.0
Fiji,2014,export,china,77,89774.0
Fiji,2014,export,china,78,20591648.0
Fiji,2014,export,china,79,3416.0
Fiji,2014,export,china,81,19845.0
Fiji,2014,export,china,82,117953.0
Fiji,2014,export,china,83,10.0
Fiji,2014,export,china,84,28667.0
Fiji,2014,export,china,85,5064.0
Fiji,2014,export,china,87,9442.0
Fiji,2014,export,china,89,70072.0
Fiji,2014,export,china,93,2620384.0
Fiji,2014,export,world,00,135512.0
Fiji,2014,export,world,01,8975414.0
Fiji,2014,export,world,02,8740712.0
Fiji,2014,export,world,03,189974158.0
Fiji,2014,export,world,04,62438023.0
Fiji,2014,export,world,05,23252442.0
Fiji,2014,export,world,06,116809033.0
Fiji,2014,export,world,07,9195095.0
Fiji,2014,export,world,08,3368391.0
Fiji,2014,export,world,09,4034434.0
Fiji,2014,export,world,11,123214551.0
Fiji,2014,export,world,12,716481.0
Fiji,2014,export,world,21,61990.0
Fiji,2014,export,world,22,46987.0
Fiji,2014,export,world,24,49676252.0
Fiji,2014,export,world,25,92722.0
Fiji,2014,export,world,26,315531.0
Fiji,2014,export,world,27,11097165.0
Fiji,2014,export,world,28,12070118.0
Fiji,2014,export,world,29,7913170.0
Fiji,2014,export,world,33,344190761.0
Fiji,2014,export,world,34,384363.0
Fiji,2014,export,world,41,348669.0
Fiji,2014,export,world,42,5428805.0
Fiji,2014,export,world,43,43116.0
Fiji,2014,export,world,51,579502.0
Fiji,2014,export,world,52,435752.0
Fiji,2014,export,world,53,7988841.0
Fiji,2014,export,world,54,8663050.0
Fiji,2014,export,world,55,12729293.0
Fiji,2014,export,world,56,35965.0
Fiji,2014,export,world,57,1208292.0
Fiji,2014,export,world,58,4744569.0
Fiji,2014,export,world,59,823923.0
Fiji,2014,export,world,61,19990.0
Fiji,2014,export,world,62,643556.0
Fiji,2014,export,world,63,3787152.0
Fiji,2014,export,world,64,13329503.0
Fiji,2014,export,world,65,9322814.0
Fiji,2014,export,world,66,11247591.0
Fiji,2014,export,world,67,3905343.0
Fiji,2014,export,world,68,10930416.0
Fiji,2014,export,world,69,24853048.0
Fiji,2014,export,world,71,3287504.0
Fiji,2014,export,world,72,3222054.0
Fiji,2014,export,world,73,79260.0
Fiji,2014,export,world,74,2265283.0
Fiji,2014,export,world,75,1545596.0
Fiji,2014,export,world,76,21987029.0
Fiji,2014,export,world,77,56518537.0
Fiji,2014,export,world,78,24449784.0
Fiji,2014,export,world,79,18871212.0
Fiji,2014,export,world,81,833538.0
Fiji,2014,export,world,82,2349813.0
Fiji,2014,export,world,83,455814.0
Fiji,2014,export,world,84,61847189.0
Fiji,2014,export,world,85,1534787.0
Fiji,2014,export,world,87,1629954.0
Fiji,2014,export,world,88,692626.0
Fiji,2014,export,world,89,13399547.0
Fiji,2014,export,world,93,11833728.0
Fiji,2014,export,world,97,48688689.0
Fiji,2014,import,aus,00,673.0
Fiji,2014,import,aus,01,11444557.0
Fiji,2014,import,aus,02,9084353.0
Fiji,2014,import,aus,03,472154.0
Fiji,2014,import,aus,04,71445706.0
Fiji,2014,import,aus,05,8498757.0
Fiji,2014,import,aus,06,5415457.0
Fiji,2014,import,aus,07,2449633.0
Fiji,2014,import,aus,08,12062746.0
Fiji,2014,import,aus,09,10044583.0
Fiji,2014,import,aus,11,6042718.0
Fiji,2014,import,aus,12,187224.0
Fiji,2014,import,aus,22,100952.0
Fiji,2014,import,aus,23,7289.0
Fiji,2014,import,aus,24,938500.0
Fiji,2014,import,aus,26,4323291.0
Fiji,2014,import,aus,27,311881.0
Fiji,2014,import,aus,28,2222.0
Fiji,2014,import,aus,29,394395.0
Fiji,2014,import,aus,32,25766.0
Fiji,2014,import,aus,33,4437846.0
Fiji,2014,import,aus,34,1303050.0
Fiji,2014,import,aus,41,4459.0
Fiji,2014,import,aus,42,2293290.0
Fiji,2014,import,aus,43,34817.0
Fiji,2014,import,aus,51,2529186.0
Fiji,2014,import,aus,52,2697201.0
Fiji,2014,import,aus,53,3231020.0
Fiji,2014,import,aus,54,10343881.0
Fiji,2014,import,aus,55,6065057.0
Fiji,2014,import,aus,56,549190.0
Fiji,2014,import,aus,57,4349452.0
Fiji,2014,import,aus,58,6216788.0
Fiji,2014,import,aus,59,15125655.0
Fiji,2014,import,aus,61,355564.0
Fiji,2014,import,aus,62,5025654.0
Fiji,2014,import,aus,63,1196982.0
Fiji,2014,import,aus,64,13584078.0
Fiji,2014,import,aus,65,17844350.0
Fiji,2014,import,aus,66,2674292.0
Fiji,2014,import,aus,67,5211153.0
Fiji,2014,import,aus,68,1122870.0
Fiji,2014,import,aus,69,21066367.0
Fiji,2014,import,aus,71,26019254.0
Fiji,2014,import,aus,72,15470719.0
Fiji,2014,import,aus,73,811984.0
Fiji,2014,import,aus,74,21395238.0
Fiji,2014,import,aus,75,14110027.0
Fiji,2014,import,aus,76,13696377.0
Fiji,2014,import,aus,77,16955466.0
Fiji,2014,import,aus,78,11723398.0
Fiji,2014,import,aus,79,16682902.0
Fiji,2014,import,aus,81,2389334.0
Fiji,2014,import,aus,82,2468061.0
Fiji,2014,import,aus,83,624608.0
Fiji,2014,import,aus,84,2601877.0
Fiji,2014,import,aus,85,1299730.0
Fiji,2014,import,aus,87,7657205.0
Fiji,2014,import,aus,88,3827829.0
Fiji,2014,import,aus,89,23231935.0
Fiji,2014,import,aus,93,3420906.0
Fiji,2014,import,aus,96,13146.0
Fiji,2014,import,aus,97,605.0
Fiji,2014,import,china,02,1915.0
Fiji,2014,import,china,03,144061741.0
Fiji,2014,import,china,04,317354.0
Fiji,2014,import,china,05,5356714.0
Fiji,2014,import,china,06,74521.0
Fiji,2014,import,china,07,334218.0
Fiji,2014,import,china,08,3529.0
Fiji,2014,import,china,09,1686951.0
Fiji,2014,import,china,11,2013239.0
Fiji,2014,import,china,12,269344.0
Fiji,2014,import,china,21,58135.0
Fiji,2014,import,china,22,28395.0
Fiji,2014,import,china,23,14570.0
Fiji,2014,import,china,24,95915.0
Fiji,2014,import,china,26,149189.0
Fiji,2014,import,china,27,429557.0
Fiji,2014,import,china,28,102.0
Fiji,2014,import,china,29,212337.0
Fiji,2014,import,china,32,2319.0
Fiji,2014,import,china,33,429232.0
Fiji,2014,import,china,41,22.0
Fiji,2014,import,china,42,25227.0
Fiji,2014,import,china,43,7114.0
Fiji,2014,import,china,51,1405406.0
Fiji,2014,import,china,52,1570752.0
Fiji,2014,import,china,53,1258400.0
Fiji,2014,import,china,54,822735.0
Fiji,2014,import,china,55,4229358.0
Fiji,2014,import,china,56,2257460.0
Fiji,2014,import,china,57,942769.0
Fiji,2014,import,china,58,3248203.0
Fiji,2014,import,china,59,5093434.0
Fiji,2014,import,china,61,343179.0
Fiji,2014,import,china,62,8766203.0
Fiji,2014,import,china,63,1819464.0
Fiji,2014,import,china,64,7389571.0
Fiji,2014,import,china,65,26664070.0
Fiji,2014,import,china,66,11241592.0
Fiji,2014,import,china,67,11461075.0
Fiji,2014,import,china,68,2745444.0
Fiji,2014,import,china,69,20855613.0
Fiji,2014,import,china,71,7238158.0
Fiji,2014,import,china,72,21272644.0
Fiji,2014,import,china,73,706685.0
Fiji,2014,import,china,74,14593663.0
Fiji,2014,import,china,75,2269430.0
Fiji,2014,import,china,76,26508515.0
Fiji,2014,import,china,77,15240640.0
Fiji,2014,import,china,78,32150084.0
Fiji,2014,import,china,79,1196544.0
