country,year,partner,sti
"Micronesia, Federated States of",2022,china,0.03332898157822521
"Micronesia, Federated States of",2022,us,0.12622775785584123
"Micronesia, Federated States of",2023,aus,0.01478719941726797
"Micronesia, Federated States of",2023,china,0.05309195893539805
"Micronesia, Federated States of",2023,us,0.10605713220170679
"Micronesia, Federated States of",2024,aus,0.016999060473992245
"Micronesia, Federated States of",2024,china,0.11285186898490211
"Micronesia, Federated States of",2024,us,0.11181388806077673
"Nauru, Republic of",2000,aus,0.20540942827451225
"Nauru, Republic of",2000,china,0.00028488998166259407
"Nauru, Republic of",2000,us,0.0814329006697177
"Nauru, Republic of",2001,aus,0.36542636372396664
"Nauru, Republic of",2001,china,0.010011170972155066
"Nauru, Republic of",2001,us,0.10644789471012782
"Nauru, Republic of",2002,aus,0.06877667489917164
"Nauru, Republic of",2002,china,0.0015414932977055589
"Nauru, Republic of",2002,us,0.012514145463806515
"Nauru, Republic of",2003,aus,0.3453703464460702
"Nauru, Republic of",2003,china,0.0009214284202000605
"Nauru, Republic of",2003,us,0.03993469014331415
"Nauru, Republic of",2004,aus,0.40147883184533706
"Nauru, Republic of",2004,china,0.003253042722709501
"Nauru, Republic of",2004,us,0.0229270295509954
"Nauru, Republic of",2005,aus,0.3243804593283724
"Nauru, Republic of",2005,china,0.0009823839902509948
"Nauru, Republic of",2005,us,0.05530821446209765
"Nauru, Republic of",2006,aus,0.38512252982954415
"Nauru, Republic of",2006,us,0.10264584123606273
"Nauru, Republic of",2007,aus,0.3499643789090354
"Nauru, Republic of",2007,china,0.0006312086250319596
"Nauru, Republic of",2007,us,0.13624636194098447
"Nauru, Republic of",2008,aus,0.13712799889937505
"Nauru, Republic of",2008,china,4.978851682809912e-06
"Nauru, Republic of",2008,us,0.05836706779850692
"Nauru, Republic of",2009,aus,0.15248084657895375
"Nauru, Republic of",2009,china,0.0001600750248843679
"Nauru, Republic of",2009,us,0.02872546483474938
"Nauru, Republic of",2010,aus,0.24429394634498452
"Nauru, Republic of",2010,china,0.0003031808815066238
"Nauru, Republic of",2010,us,0.03466046532274737
"Nauru, Republic of",2011,aus,0.24414220818993904
"Nauru, Republic of",2011,china,0.001803128451541511
"Nauru, Republic of",2011,us,0.007340983244865774
"Nauru, Republic of",2012,aus,0.2534870892334102
"Nauru, Republic of",2012,china,0.0075134904268952495
"Nauru, Republic of",2012,us,0.019229843937355624
"Nauru, Republic of",2013,aus,0.6773504516921519
"Nauru, Republic of",2013,china,0.005176168402605615
"Nauru, Republic of",2013,us,0.006040377306089032
"Nauru, Republic of",2014,aus,0.5289150257646097
"Nauru, Republic of",2014,china,0.016253311350011006
"Nauru, Republic of",2014,us,0.007780735496121641
"Nauru, Republic of",2015,aus,0.5452341793078271
"Nauru, Republic of",2015,china,0.04520355729536761
"Nauru, Republic of",2015,us,0.019756283933629465
"Nauru, Republic of",2016,aus,0.5960046873863918
"Nauru, Republic of",2016,china,0.025188512368619097
"Nauru, Republic of",2016,us,0.02223017668178103
"Nauru, Republic of",2017,aus,0.5352378097679964
"Nauru, Republic of",2017,china,0.009240573653811007
"Nauru, Republic of",2017,us,0.0222345979452679
"Nauru, Republic of",2018,aus,0.28709593223938773
"Nauru, Republic of",2018,china,0.014869040173581467
"Nauru, Republic of",2018,us,0.024766063689637376
"Nauru, Republic of",2019,aus,0.2815927035682677
"Nauru, Republic of",2019,china,0.0097297476095475
"Nauru, Republic of",2019,us,0.03796260322592461
"Nauru, Republic of",2020,aus,0.183812239932278
"Nauru, Republic of",2020,china,0.008519726167075166
"Nauru, Republic of",2020,us,0.01766318890869362
"Nauru, Republic of",2021,aus,0.17721034656069115
"Nauru, Republic of",2021,china,0.03825172878631775
"Nauru, Republic of",2021,us,0.01117135436904593
"Nauru, Republic of",2022,aus,0.15870715623318993
"Nauru, Republic of",2022,china,0.04757705569519975
"Nauru, Republic of",2022,us,0.011807409019719542
"Nauru, Republic of",2023,aus,0.13953099494128526
"Nauru, Republic of",2023,china,0.024921741197986694
"Nauru, Republic of",2023,us,0.008606300405721148
"Nauru, Republic of",2024,aus,0.1252831930915003
"Nauru, Republic of",2024,china,0.068210633607079
"Nauru, Republic of",2024,us,0.010410246699338587
Palau,2000,aus,0.0005552448232196227
Palau,2000,china,0.022799525944626198
Palau,2000,us,0.44577326215643087
Palau,2001,aus,0.00799622872857052
Palau,2001,china,0.032348876550046785
Palau,2001,us,0.3731547640334613
Palau,2002,aus,0.00937192058711037
Palau,2002,china,0.020255907292229456
Palau,2002,us,0.40379994194615226
Palau,2003,aus,0.016170713504450984
Palau,2003,china,0.01941023771870183
Palau,2003,us,0.4096831814005742
Palau,2004,aus,0.015024548952684989
Palau,2004,china,0.02088283260504912
Palau,2004,us,0.3865257890952034
Palau,2005,aus,0.02248734934515683
Palau,2005,china,0.0209369691013402
Palau,2005,us,0.3444554016480582
Palau,2006,aus,0.008114403994844014
Palau,2006,china,0.018698603889070013
Palau,2006,us,0.3066383085712109
Palau,2007,aus,0.005671845258817585
Palau,2007,china,0.029195172868707306
Palau,2007,us,0.22595236020837045
Palau,2008,aus,0.009244772599686047
Palau,2008,china,0.018434885869553764
Palau,2008,us,0.21799080717321434
Palau,2009,aus,0.006465043848134874
Palau,2009,china,0.016198714526562106
Palau,2009,us,0.2695330766268872
Palau,2010,aus,0.00770302692068575
Palau,2010,china,0.008579632262032007
Palau,2010,us,0.24930495047115292
Palau,2011,aus,0.007016036652113366
Palau,2011,china,0.009385132457903858
Palau,2011,us,0.215038813241862
Palau,2012,aus,0.008134422754012084
Palau,2012,china,0.006900977697489256
Palau,2012,us,0.2748555363650926
Palau,2013,aus,0.0047916747284173535
Palau,2013,china,0.020755880789485308
Palau,2013,us,0.22402267833048747
Palau,2014,aus,0.00665786138658724
Palau,2014,china,0.03337683438323195
Palau,2014,us,0.2524545639120953
Palau,2015,aus,0.015312430099653997
Palau,2015,china,0.03864663785490955
Palau,2015,us,0.2750310455811874
Palau,2016,aus,0.007567190496775057
Palau,2016,china,0.03525351992955231
Palau,2016,us,0.28645952834226523
Palau,2017,aus,0.011071796721401236
Palau,2017,china,0.052290144002900024
Palau,2017,us,0.2608744882345535
Palau,2018,aus,0.00867777111198337
Palau,2018,china,0.04059637592782995
Palau,2018,us,0.2481750849083849
Palau,2019,aus,0.00708984038863302
Palau,2019,china,0.04877754842527096
Palau,2019,us,0.2545265712553954
Palau,2020,aus,0.009721900802879341
Palau,2020,china,0.08100218599892259
Palau,2020,us,0.29351607397734253
Palau,2021,aus,0.009200144428007057
Palau,2021,china,0.09038802071590923
Palau,2021,us,0.2707825612595236
Palau,2022,aus,0.009863042853342368
Palau,2022,china,0.10672186954878964
Palau,2022,us,0.20691059901560244
Palau,2023,aus,0.005072170258546118
Palau,2023,china,0.06861133552370736
Palau,2023,us,0.15876893820851884
Palau,2024,aus,0.011285155560910743
Palau,2024,china,0.07240919295411759
Palau,2024,us,0.17014966478503146
Papua New Guinea,2000,aus,0.357321257389184
Papua New Guinea,2000,china,0.022090309589148524
Papua New Guinea,2000,us,0.03539854739271607
Papua New Guinea,2001,aus,0.38489236693679935
Papua New Guinea,2001,china,0.028649218625614606
Papua New Guinea,2001,us,0.027680162431030185
Papua New Guinea,2002,aus,0.46231727990663074
Papua New Guinea,2002,china,0.034413551486910866
Papua New Guinea,2002,us,0.03942953909615025
Papua New Guinea,2003,aus,0.39905193761748686
Papua New Guinea,2003,china,0.0399288188339137
Papua New Guinea,2003,us,0.03841911793228765
Papua New Guinea,2004,aus,0.4163143782446271
Papua New Guinea,2004,china,0.048306982179276606
Papua New Guinea,2004,us,0.024789078461859473
Papua New Guinea,2005,aus,0.3909200760235513
Papua New Guinea,2005,china,0.04167092493747928
Papua New Guinea,2005,us,0.020387020456129754
Papua New Guinea,2006,aus,0.3992942066666604
Papua New Guinea,2006,china,0.05394438934832255
Papua New Guinea,2006,us,0.017140760403328518
Papua New Guinea,2007,aus,0.4163545538562432
Papua New Guinea,2007,china,0.06566625039983744
Papua New Guinea,2007,us,0.01980581512870036
Papua New Guinea,2008,aus,0.393109185943165
Papua New Guinea,2008,china,0.08240693415507287
Papua New Guinea,2008,us,0.01963834216526906
Papua New Guinea,2009,aus,0.3865749438149051
Papua New Guinea,2009,china,0.10328977414303686
Papua New Guinea,2009,us,0.04006851080840906
Papua New Guinea,2010,aus,0.40233675025367266
Papua New Guinea,2010,china,0.06879170981286312
Papua New Guinea,2010,us,0.03080448064882893
Papua New Guinea,2011,aus,0.3931011129501743
Papua New Guinea,2011,china,0.06723635938047746
Papua New Guinea,2011,us,0.035162589866114924
Papua New Guinea,2012,aus,0.3422944109879275
Papua New Guinea,2012,china,0.10465257396815296
Papua New Guinea,2012,us,0.029554461980717775
Papua New Guinea,2013,aus,0.31986237199320666
Papua New Guinea,2013,china,0.10410658242684388
Papua New Guinea,2013,us,0.015419862548569788
Papua New Guinea,2014,aus,0.3169128942302279
Papua New Guinea,2014,china,0.12645034200314237
Papua New Guinea,2014,us,0.013565877144121595
Papua New Guinea,2015,aus,0.28486195088234667
Papua New Guinea,2015,china,0.16412292163021552
Papua New Guinea,2015,us,0.020201291400714434
Papua New Guinea,2016,aus,0.3474489666474421
Papua New Guinea,2016,china,0.1578691194527171
Papua New Guinea,2016,us,0.015436268750798078
Papua New Guinea,2017,aus,0.3364555011546805
Papua New Guinea,2017,china,0.17870002438394672
Papua New Guinea,2017,us,0.021931421366542404
Papua New Guinea,2018,aus,0.3341658725884635
Papua New Guinea,2018,china,0.20869461813627682
Papua New Guinea,2018,us,0.016221778203163763
Papua New Guinea,2019,aus,0.31456337941732276
Papua New Guinea,2019,china,0.19724735215013167
Papua New Guinea,2019,us,0.010545362002080394
Papua New Guinea,2020,aus,0.25592970245526314
Papua New Guinea,2020,china,0.1928033791946653
Papua New Guinea,2020,us,0.009040120165809316
Papua New Guinea,2021,aus,0.22551997176007474
Papua New Guinea,2021,china,0.19808092603852975
Papua New Guinea,2021,us,0.008218533251160367
Papua New Guinea,2022,aus,0.22767116191243222
Papua New Guinea,2022,china,0.2155336188614235
Papua New Guinea,2022,us,0.011836773782848876
Papua New Guinea,2023,aus,0.23380866262730363
Papua New Guinea,2023,china,0.2072343004626587
Papua New Guinea,2023,us,0.012705527461879654
Papua New Guinea,2024,aus,0.25098462935241334
Papua New Guinea,2024,china,0.21061524081654737
Papua New Guinea,2024,us,0.008567223807036912
Samoa,2000,aus,0.31576163840563815
Samoa,2000,china,0.007879415726661603
Samoa,2000,us,0.12863394669737244
Samoa,2001,aus,0.3174286521845253
Samoa,2001,china,0.009076187610525015
Samoa,2001,us,0.14887556701507215
Samoa,2002,aus,0.3312743797387773
Samoa,2002,china,0.014422162400233118
Samoa,2002,us,0.08415235718490201
Samoa,2003,aus,0.3662675285842636
Samoa,2003,china,0.013387091089198213
Samoa,2003,us,0.08940976374728818
Samoa,2004,aus,0.3302937666595461
Samoa,2004,china,0.018106345818883367
Samoa,2004,us,0.10225062776303709
Samoa,2005,aus,0.35388037641815107
Samoa,2005,china,0.032531440012412385
Samoa,2005,us,0.11199827801145917
Samoa,2006,aus,0.23975792323271974
Samoa,2006,china,0.019477178717645722
Samoa,2006,us,0.09671728017865114
Samoa,2007,aus,0.30244699764777894
Samoa,2007,china,0.02014545301651009
Samoa,2007,us,0.09159678803894634
Samoa,2008,aus,0.3339949898515787
Samoa,2008,china,0.05392051574533841
Samoa,2008,us,0.09379411329550248
Samoa,2009,aus,0.2785450328611324
Samoa,2009,china,0.05608411601711935
Samoa,2009,us,0.10425621273146483
Samoa,2010,aus,0.32423887174019145
Samoa,2010,china,0.05203153894998959
Samoa,2010,us,0.10236280318529266
Samoa,2011,aus,0.17262859348149917
Samoa,2011,china,0.056388246228842684
Samoa,2011,us,0.10287681193906491
Samoa,2012,aus,0.18243682999929017
Samoa,2012,china,0.06798615765181236
Samoa,2012,us,0.11503624529033019
Samoa,2013,aus,0.14573487935826218
Samoa,2013,china,0.07067688880397313
Samoa,2013,us,0.11104726442700681
Samoa,2014,aus,0.14718201644979442
Samoa,2014,china,0.09371209295191013
Samoa,2014,us,0.09445485295139701
Samoa,2015,aus,0.1494777550067843
Samoa,2015,china,0.10497084191099205
Samoa,2015,us,0.09064315442145743
Samoa,2016,aus,0.140775280486684
Samoa,2016,china,0.10257979506221478
Samoa,2016,us,0.09805871976100439
Samoa,2017,aus,0.11933903109166241
Samoa,2017,china,0.08111427133542748
Samoa,2017,us,0.10329887501032659
Samoa,2018,aus,0.09674262194441496
Samoa,2018,china,0.07977208748900734
Samoa,2018,us,0.10122933701897843
Samoa,2019,aus,0.08928357304104916
Samoa,2019,china,0.11009842398725876
Samoa,2019,us,0.09104979102252381
Samoa,2020,aus,0.11000256441652458
Samoa,2020,china,0.07363850252592685
Samoa,2020,us,0.10548939845938123
Samoa,2021,aus,0.08822111569045062
Samoa,2021,china,0.08154830759426306
Samoa,2021,us,0.10671615688652558
Samoa,2022,aus,0.06942120738609812
Samoa,2022,china,0.08542027985770659
Samoa,2022,us,0.11413124771656148
Samoa,2023,aus,0.08549823328887388
Samoa,2023,china,0.09294312616095378
Samoa,2023,us,0.08502019744423127
Samoa,2024,aus,0.09383828055025185
Samoa,2024,china,0.11274474748341125
Samoa,2024,us,0.09311937465923437
Solomon Islands,2000,aus,0.2667121722825424
Solomon Islands,2000,china,0.060425658014273645
Solomon Islands,2000,us,0.04693335898825365
Solomon Islands,2001,aus,0.3146134011618249
Solomon Islands,2001,china,0.0334160895160591
Solomon Islands,2001,us,0.07375293329340285
Solomon Islands,2002,aus,0.32322700461406245
Solomon Islands,2002,china,0.07092988201837283
Solomon Islands,2002,us,0.019602512274720024
Solomon Islands,2003,aus,0.257057781304724
Solomon Islands,2003,china,0.12116795415621537
Solomon Islands,2003,us,0.014806957431106922
Solomon Islands,2004,aus,0.22846130988255284
