country_comtrade,year,flow,partner,comtrade_value_musd,imf_value_musd,country,abs_diff_musd,symmetric_pct_diff,log_ratio,within_tolerance
Kiribati,2014,import,world,232.960078731,122.0607605,Kiribati,-110.89931823100001,-62.47482174354367,-0.646348145328275,False
Kiribati,2015,export,aus,0.78396244,0.391981006,Kiribati,-0.391981434,-66.6667151950775,-0.693147726504617,False
Kiribati,2015,export,china,1.634567262,0.817282975,Kiribati,-0.817284287,-66.66673801414568,-0.6931479832191916,False
Kiribati,2015,export,world,20.017418874,11.68590832,Kiribati,-8.331510554000001,-52.559218803865974,-0.5382191393860847,False
Kiribati,2015,import,aus,44.361757042,22.179842,Kiribati,-22.181915042,-66.6708205433991,-0.6931939120371627,False
Kiribati,2015,import,china,25.642668607,12.82133293,Kiribati,-12.821335677,-66.66667618899018,-0.6931472876860869,False
Kiribati,2015,import,world,221.460359002,113.1618195,Kiribati,-108.298539502,-64.72884731479489,-0.6714247820306339,False
Kiribati,2016,export,aus,0.8225811999999999,0.411291003,Kiribati,-0.4112901969999999,-66.6665795695861,-0.6931462007179489,False
Kiribati,2016,export,world,22.5071002,11.54221916,Kiribati,-10.96488104,-64.40587504301878,-0.6678192797226612,False
Kiribati,2016,import,aus,55.137675879999996,27.56883812,Kiribati,-27.568837759999997,-66.66666608630125,-0.6931471740308345,False
Kiribati,2016,import,china,16.34768932,8.171116829,Kiribati,-8.176572491,-66.69633457119592,-0.6934809630564243,False
Kiribati,2016,import,world,237.98962680000002,123.8485107,Kiribati,-114.14111610000002,-63.089599614136866,-0.6531679570148883,False
Kiribati,2017,export,aus,2.14821672,1.074108005,Kiribati,-1.0741087150000002,-66.66669604504246,-0.6931475110666911,False
Kiribati,2017,export,china,0.059168665999999995,0.029584,Kiribati,-0.029584665999999996,-66.66766719999148,-0.6931584365809659,False
Kiribati,2017,export,world,30.493110992,17.17446709,Kiribati,-13.318643901999998,-55.88135348134803,-0.5740769795980333,False
Kiribati,2017,import,aus,41.427016156,20.71350861,Kiribati,-20.713507546,-66.6666643836691,-0.6931471548762227,False
Kiribati,2017,import,china,20.128741411,10.06437016,Kiribati,-10.064371251,-66.66667148454265,-0.6931472347610504,False
Kiribati,2017,import,world,215.77094094799997,115.5427628,Kiribati,-100.22817814799997,-60.50349080896115,-0.6245766842937435,False
Kiribati,2018,export,aus,0.6458482839999999,0.040725999,Kiribati,-0.605122285,-176.2729248628149,-2.7636979371368193,False
Kiribati,2018,export,world,16.372506179,14.233922,Kiribati,-2.1385841789999986,-13.974738682296461,-0.1399754864860752,False
Kiribati,2018,import,aus,34.332268589,15.775383,Kiribati,-18.556885589000004,-74.06807144429713,-0.7776350000548772,False
Kiribati,2018,import,china,20.826895783,5.750847816,Kiribati,-15.076047967000001,-113.44866738474552,-1.2868979277061654,False
Kiribati,2018,import,world,205.29913867899998,115.0255814,Kiribati,-90.27355727899999,-56.363778141591006,-0.5793135780077654,False
Kiribati,2020,export,aus,2.137753549,1.068869948,Kiribati,-1.0688836010000002,-66.66723436661702,-0.6931535671911849,False
Kiribati,2020,export,china,0.32579507799999996,0.162897006,Kiribati,-0.16289807199999995,-66.66695751102036,-0.6931504525607087,False
Kiribati,2020,export,world,18.544099210000002,10.27552032,Kiribati,-8.268578890000002,-57.381596459958544,-0.5903872380452898,False
Kiribati,2020,import,aus,34.061249279,17.02705956,Kiribati,-17.034189719,-66.68527538338232,-0.6933565359284511,False
Kiribati,2020,import,china,30.812870772,15.37497616,Kiribati,-15.437894612000001,-66.84829727927531,-0.6951912217765941,False
Kiribati,2020,import,world,218.069602355,110.4504623,Kiribati,-107.619140055,-65.51754466992314,-0.680247173227165,False
Kiribati,2021,export,aus,1.501e-06,1e-06,Kiribati,-5.009999999999999e-07,-40.06397441023591,-0.40613155265132495,False
Kiribati,2021,export,world,8.863588064,9.360254288,Kiribati,0.49666622400000016,5.4507300316444285,0.05452080164099743,False
Kiribati,2021,import,aus,26.373703338,25.22260857,Kiribati,-1.151094768,-4.4619265425501204,-0.04462667026625725,True
Kiribati,2021,import,china,27.552852429999998,27.43373108,Kiribati,-0.1191213499999968,-0.43327423671751886,-0.004332749145284554,True
Kiribati,2021,import,world,175.61356241,176.7255402,Kiribati,1.1119777900000258,0.6311974922811,0.006311995879233425,True
Palau,2014,export,aus,0.168,0.167999998,"Palau, Republic of",-1.9999999989472883e-09,-1.190476196935744e-06,-1.190476191384629e-08,True
Palau,2014,export,china,0.02394,0.023940001,"Palau, Republic of",9.999999994736442e-10,4.1771093508274746e-06,4.1771093488797154e-08,True
Palau,2014,export,world,11.400373,14.73310471,"Palau, Republic of",3.332731709999999,25.50545891352781,0.2564509087109009,False
Palau,2014,import,aus,1.393345,1.393339992,"Palau, Republic of",-5.008000000028545e-06,-0.00035942347372634395,-3.5942347372571985e-06,True
Palau,2014,import,china,7.803289,7.803286076,"Palau, Republic of",-2.9240000003483146e-06,-3.747138608066393e-05,-3.7471386075710264e-07,True
Palau,2014,import,world,164.98863,219.7776337,"Palau, Republic of",54.789003699999995,28.479109978684964,0.2867397168497192,False
Palau,2015,export,aus,0.03135,0.031350002,"Palau, Republic of",1.9999999989472883e-09,6.379585120100277e-06,6.379585123181281e-08,True
Palau,2015,export,china,0.00306,0.003061,"Palau, Republic of",1.0000000000001327e-06,0.03267439960791154,0.00032674399898604796,True
Palau,2015,export,world,6.384668,7.050817013,"Palau, Republic of",0.6661490130000001,9.916262976073332,0.09924400721347325,False
Palau,2015,import,aus,3.246205,3.246200085,"Palau, Republic of",-4.914999999883207e-06,-0.00015140768129945508,-1.5140768129446156e-06,True
